date,mktrf,smb,hml,rmw,cma,rf
196307,-0.39,-0.47,-0.83,0.64,-1.15,0.27
196308,5.07,-0.78,1.67,0.34,-0.40,0.25
196309,-1.57,-0.48,0.18,-0.75,0.24,0.27
196310,2.53,-1.29,-0.10,2.74,-2.24,0.29
196311,-0.85,-0.84,1.71,-0.44,2.22,0.27
196312,1.83,-1.89,-0.12,0.08,-0.30,0.29
196401,2.24,0.08,1.59,0.21,1.50,0.30
196402,1.54,0.32,2.83,0.07,0.85,0.26
196403,1.41,1.42,3.32,-2.03,2.93,0.31
196404,0.10,-1.51,-0.55,-1.37,-1.08,0.29
196405,1.42,-0.68,1.98,-0.26,0.24,0.26
196406,1.27,0.08,0.68,-0.39,0.14,0.30
196407,1.74,0.53,0.68,0.14,1.84,0.30
196408,-1.44,0.30,0.09,0.06,0.36,0.28
196409,2.69,-0.31,1.65,-0.48,0.58,0.28
196410,0.59,0.88,1.14,-0.29,0.48,0.29
196411,0.00,-0.27,-1.98,0.60,-0.16,0.29
196412,0.03,-0.58,-2.55,1.13,-1.63,0.31
196501,3.54,2.49,0.18,0.84,0.11,0.28
196502,0.44,3.31,0.22,0.40,-0.69,0.30
196503,-1.34,2.03,1.09,-0.30,0.73,0.36
196504,3.11,1.18,0.71,0.26,-2.30,0.31
196505,-0.77,0.06,-1.63,-0.37,0.70,0.31
196506,-5.51,-4.30,0.55,0.12,0.41,0.35
196507,1.43,1.07,2.18,-1.44,-0.02,0.31
196508,2.73,2.72,-0.96,2.06,-0.76,0.33
196509,2.86,0.61,-0.10,-0.97,0.82,0.31
196510,2.60,3.43,1.52,1.27,-0.76,0.31
196511,-0.03,5.20,0.21,-1.09,-0.90,0.35
196512,1.01,2.65,1.95,-1.24,-0.45,0.33
196601,0.72,4.72,3.49,-2.84,-0.07,0.38
196602,-1.21,4.86,0.27,-0.16,-1.44,0.35
196603,-2.51,0.22,-2.07,1.34,-0.01,0.38
196604,2.14,3.38,-0.54,0.44,-0.91,0.34
196605,-5.66,-5.19,-1.55,1.69,-1.52,0.41
196606,-1.44,1.34,0.50,0.05,0.80,0.38
196607,-1.63,-0.50,0.96,-0.46,1.78,0.35
196608,-7.91,-3.03,0.47,0.06,0.77,0.41
196609,-1.06,-1.19,0.53,-1.66,2.50,0.40
196610,3.86,-6.53,2.87,-3.64,4.28,0.45
196611,1.40,3.37,-4.46,4.18,-6.53,0.40
196612,0.13,1.93,-1.22,0.68,-0.13,0.40
196701,8.15,9.00,2.22,0.62,-2.98,0.43
196702,0.78,3.03,-2.17,1.93,-0.94,0.36
196703,3.99,1.91,0.31,0.90,-1.51,0.39
196704,3.89,0.46,-2.64,2.44,-3.75,0.32
196705,-4.33,2.37,0.80,-1.75,1.61,0.33
196706,2.41,6.47,0.96,-0.63,-2.38,0.27
196707,4.58,3.48,2.65,0.51,2.73,0.31
196708,-0.89,0.76,1.46,0.42,1.40,0.31
196709,3.11,2.46,-2.47,0.22,-0.96,0.32
196710,-3.09,0.46,-3.39,0.81,-2.57,0.39
196711,0.37,-0.05,-1.71,1.29,-2.29,0.36
196712,3.05,5.76,-0.39,-0.65,0.04,0.33
196801,-4.06,4.48,4.75,-4.58,6.45,0.40
196802,-3.75,-2.92,1.17,-0.14,2.48,0.39
196803,0.20,-1.52,-0.59,1.17,-1.15,0.38
196804,9.05,6.25,-1.03,2.79,-3.66,0.43
196805,2.28,7.02,0.84,0.39,-1.85,0.45
196806,0.69,-0.28,0.67,-1.33,2.65,0.43
196807,-2.72,-1.32,5.48,-2.97,3.59,0.48
196808,1.34,2.29,1.00,-0.66,0.42,0.42
196809,4.03,2.78,0.24,-2.00,0.89,0.43
196810,0.42,-0.42,2.89,-1.35,2.79,0.44
196811,5.43,2.40,-0.90,0.49,-2.50,0.42
196812,-3.94,3.58,0.02,-1.73,1.66,0.43
196901,-1.25,-0.46,1.69,-1.56,1.38,0.53
196902,-5.84,-4.12,0.90,2.14,0.79,0.46
196903,2.64,-0.39,-0.46,-1.31,-0.41,0.46
196904,1.46,-0.83,0.03,0.36,0.08,0.53
196905,-0.10,-0.18,0.73,-0.92,1.51,0.48
196906,-7.18,-5.50,-1.09,4.27,-1.53,0.51
196907,-7.00,-3.38,1.42,1.33,1.97,0.53
196908,4.68,0.72,-3.87,1.16,-4.08,0.50
196909,-2.98,1.30,-3.19,3.35,-0.83,0.62
196910,5.06,3.89,-3.19,0.04,-2.03,0.60
196911,-3.79,-2.41,-1.12,1.50,0.32,0.52
196912,-2.63,-3.69,-3.02,2.41,-2.04,0.64
197001,-8.10,3.08,3.04,-1.77,3.92,0.60
197002,5.13,-2.56,4.04,-2.21,3.06,0.62
197003,-1.06,-2.40,4.25,-0.96,4.43,0.57
197004,-11.00,-6.29,6.39,-0.65,5.88,0.50
197005,-6.92,-4.41,3.60,-1.28,3.62,0.53
197006,-5.79,-2.17,0.87,0.17,2.90,0.58
197007,6.93,-0.68,0.96,-0.07,1.90,0.52
197008,4.49,1.55,1.03,0.57,-0.15,0.53
197009,4.18,8.49,-5.58,0.20,-5.93,0.54
197010,-2.28,-4.51,0.27,1.76,2.38,0.46
197011,4.59,-4.00,1.63,1.76,1.59,0.46
197012,5.72,3.04,1.01,0.14,0.28,0.42
197101,4.84,7.54,1.38,-2.15,-0.14,0.38
197102,1.41,2.05,-1.29,0.53,-0.72,0.33
197103,4.13,2.15,-4.04,2.00,-2.69,0.30
197104,3.15,-0.36,0.72,-1.57,0.72,0.28
197105,-3.98,-1.16,-1.38,1.40,0.30,0.29
197106,-0.10,-1.44,-2.06,1.54,-1.74,0.37
197107,-4.50,-1.42,0.17,0.50,1.62,0.40
197108,3.79,-0.18,2.67,-0.34,2.60,0.47
197109,-0.85,0.19,-2.96,2.64,-1.56,0.37
197110,-4.42,-1.66,-0.43,1.48,-1.24,0.37
197111,-0.46,-2.90,-1.70,2.40,-0.36,0.37
197112,8.71,3.29,-0.35,-0.38,-1.83,0.37
197201,2.49,6.33,1.99,-1.49,0.29,0.29
197202,2.87,0.97,-2.76,1.74,-0.52,0.25
197203,0.63,-0.49,-1.73,1.58,-0.19,0.27
197204,0.29,0.15,0.23,-0.58,-0.89,0.29
197205,1.25,-3.14,-2.69,2.30,-1.85,0.30
197206,-2.43,-0.37,-2.51,1.74,-0.36,0.29
197207,-0.80,-2.74,0.78,1.00,-0.59,0.31
197208,3.26,-3.53,4.69,-2.08,2.95,0.29
197209,-1.14,-2.25,0.47,1.59,-1.98,0.34
197210,0.52,-2.53,1.37,-0.11,-0.05,0.40
197211,4.60,-0.52,4.76,-1.98,3.35,0.37
197212,0.62,-1.82,-2.27,2.52,-2.20,0.37
197301,-3.29,-2.80,2.68,0.30,0.92,0.44
197302,-4.85,-4.02,1.70,-0.37,-0.01,0.41
197303,-1.30,-2.32,2.78,-1.07,0.73,0.46
197304,-5.68,-3.01,5.69,-1.76,2.71,0.52
197305,-2.94,-5.98,0.21,2.03,-1.79,0.51
197306,-1.56,-2.55,1.44,-0.33,0.22,0.51
197307,5.05,7.28,-5.31,-0.02,-3.45,0.64
197308,-3.82,-1.73,1.14,-1.36,1.20,0.70
197309,4.75,3.54,2.18,-2.32,1.82,0.68
197310,-0.83,-0.29,1.74,-1.76,2.59,0.65
197311,-12.75,-7.25,4.04,-2.70,1.49,0.56
197312,0.61,-4.61,4.09,-2.73,2.30,0.64
197401,-0.17,10.41,5.99,-3.15,4.47,0.63
197402,-0.47,0.17,2.54,-1.97,2.67,0.58
197403,-2.81,2.63,-0.11,2.79,0.36,0.56
197404,-5.29,-0.62,1.06,2.88,1.85,0.75
197405,-4.68,-3.16,-2.04,4.99,0.00,0.75
197406,-2.83,-0.02,0.79,0.67,3.06,0.60
197407,-8.05,2.00,5.14,-3.43,4.58,0.70
197408,-9.35,0.32,2.50,-0.24,2.55,0.60
197409,-11.77,1.44,5.49,-4.33,5.91,0.81
197410,16.10,-6.85,-9.99,-0.16,-2.94,0.51
197411,-4.51,-1.46,-0.16,-3.48,2.95,0.54
197412,-3.45,-4.37,0.00,-0.59,3.23,0.70
197501,13.66,12.78,8.44,-0.69,-0.86,0.58
197502,5.56,-0.63,-4.56,1.28,-2.14,0.43
197503,2.66,3.98,2.49,1.27,-1.25,0.41
197504,4.23,-0.59,-1.11,1.65,-1.35,0.44
197505,5.19,2.90,-4.02,-0.78,-0.61,0.44
197506,4.83,1.31,1.32,-2.84,1.06,0.41
197507,-6.59,3.43,1.70,0.51,1.19,0.48
197508,-2.85,-2.80,-0.90,1.03,-0.89,0.48
197509,-4.26,0.01,0.34,0.62,0.50,0.53
197510,5.31,-4.21,0.30,-0.52,2.27,0.56
197511,2.64,-1.06,1.99,-0.65,1.71,0.41
197512,-1.60,-0.03,1.76,-0.17,0.60,0.48
197601,12.16,6.35,8.58,-2.04,2.36,0.47
197602,0.32,7.95,5.78,-2.59,3.84,0.34
197603,2.32,-1.36,-0.04,-0.39,1.09,0.40
197604,-1.49,0.13,-0.06,0.37,-1.10,0.42
197605,-1.34,-1.12,-1.32,2.75,-1.42,0.37
197606,4.05,-1.13,0.68,-0.68,0.93,0.43
197607,-1.07,0.62,1.74,-1.08,0.29,0.47
197608,-0.56,-2.03,0.79,-0.42,-0.59,0.42
197609,2.07,0.10,-0.29,0.93,-1.14,0.44
197610,-2.42,0.15,-0.13,-0.08,-0.31,0.41
197611,0.36,2.66,1.51,-1.32,0.08,0.40
197612,5.65,3.60,2.22,-0.64,2.23,0.40
197701,-4.05,5.90,4.26,-0.46,1.93,0.36
197702,-1.94,1.12,0.50,-0.17,-0.19,0.35
197703,-1.37,1.28,1.02,-0.36,-0.09,0.38
197704,0.15,0.59,3.45,-2.01,1.16,0.38
197705,-1.45,1.28,0.84,0.30,0.11,0.37
197706,4.71,2.07,-0.64,0.77,-1.22,0.40
197707,-1.69,1.82,-0.59,0.74,0.01,0.42
197708,-1.75,0.87,-2.79,0.87,-0.62,0.44
197709,-0.27,1.58,-0.49,1.18,-0.84,0.43
197710,-4.38,1.49,1.72,-0.07,-0.46,0.49
197711,4.00,3.62,0.31,0.00,0.65,0.50
197712,0.27,1.61,-0.37,1.01,-0.65,0.49
197801,-6.01,2.70,3.31,-1.51,1.53,0.49
197802,-1.38,3.70,0.76,0.51,1.04,0.46
197803,2.85,3.74,1.20,-0.54,1.88,0.53
197804,7.88,-0.34,-3.54,2.59,-1.35,0.54
197805,1.76,4.57,-0.62,0.34,0.36,0.51
197806,-1.69,1.60,0.59,-1.30,-0.02,0.54
197807,5.11,0.16,-1.11,1.52,-0.78,0.56
197808,3.75,4.93,-0.46,1.39,0.42,0.56
197809,-1.43,-0.32,1.87,-0.78,1.80,0.62
197810,-11.91,-10.05,1.36,0.22,1.03,0.68
197811,2.71,2.85,-2.22,1.20,-1.21,0.70
197812,0.88,1.08,-2.19,2.11,-1.38,0.78
197901,4.23,3.83,2.27,-2.40,1.57,0.77
197902,-3.56,0.51,1.20,-1.10,1.04,0.73
197903,5.68,3.11,-0.67,0.68,0.28,0.81
197904,-0.06,2.38,1.05,1.19,0.21,0.80
197905,-2.21,0.47,1.92,-0.99,-0.84,0.82
197906,3.85,0.98,1.48,-1.55,-0.45,0.81
197907,0.82,1.25,1.70,-0.34,0.59,0.77
197908,5.53,1.97,-1.55,1.64,-1.45,0.77
197909,-0.82,-0.26,-0.87,0.71,0.54,0.83
197910,-8.10,-3.47,-1.86,0.84,0.24,0.87
197911,5.21,2.45,-3.25,0.17,-2.00,0.99
197912,1.79,4.36,-1.98,-0.82,-1.01,0.95
198001,5.51,1.92,1.80,-1.99,2.01,0.80
198002,-1.22,-1.47,0.62,0.11,3.04,0.89
198003,-12.90,-6.99,-1.06,1.57,-1.34,1.21
198004,3.97,1.01,1.06,-2.04,0.54,1.26
198005,5.26,2.11,0.39,0.44,-0.47,0.81
198006,3.06,1.48,-0.89,-0.05,-0.95,0.61
198007,6.49,3.92,-6.30,4.02,-2.46,0.53
198008,1.80,4.23,-2.64,2.13,-0.80,0.64
198009,2.19,0.57,-4.79,1.95,-2.81,0.75
198010,1.06,2.35,-2.74,1.68,-1.22,0.95
198011,9.59,-3.41,-8.35,4.33,-5.74,0.96
198012,-4.52,-0.29,2.68,-1.00,1.18,1.31
198101,-5.04,3.38,6.84,-3.52,4.35,1.04
198102,0.57,-0.49,0.97,0.13,2.25,1.07
198103,3.56,3.06,0.67,-2.54,-0.53,1.21
198104,-2.11,4.56,2.26,1.02,1.20,1.08
198105,0.11,2.45,-0.43,0.22,-1.60,1.15
198106,-2.36,-0.99,5.13,-1.26,2.68,1.35
198107,-1.54,-1.96,-0.66,1.05,-3.04,1.24
198108,-7.04,-1.83,4.84,-0.42,1.46,1.28
198109,-7.17,-2.47,5.20,0.09,2.79,1.24
198110,4.92,2.25,-4.21,3.23,-2.76,1.21
198111,3.36,-1.39,1.90,0.32,0.63,1.07
198112,-3.65,1.19,0.74,0.28,2.41,0.87
198201,-3.24,-1.18,3.17,-1.41,2.08,0.80
198202,-5.86,0.33,6.10,-3.58,4.57,0.92
198203,-1.87,0.02,3.78,-1.32,2.37,0.98
198204,3.27,1.13,-2.78,1.39,-0.15,1.13
198205,-3.99,0.53,1.81,0.46,-0.09,1.06
198206,-3.09,-0.53,1.54,-0.20,2.72,0.96
198207,-3.19,0.93,0.15,0.83,1.54,1.05
198208,11.14,-4.27,1.16,-1.66,0.18,0.76
198209,1.29,2.57,0.34,1.90,-0.04,0.51
198210,11.30,1.90,-3.68,0.42,-0.37,0.59
198211,4.67,4.56,-1.96,-0.51,0.32,0.63
198212,0.55,-0.03,0.01,-0.46,1.03,0.67
198301,3.60,3.29,-0.86,-1.71,-0.46,0.69
198302,2.59,2.91,0.67,-0.57,1.02,0.62
198303,2.82,1.40,2.07,0.23,2.81,0.63
198304,6.67,0.48,0.60,-0.25,1.60,0.71
198305,0.52,6.21,-1.40,-2.14,-1.53,0.69
198306,3.07,1.15,-3.87,2.48,-0.89,0.67
198307,-4.07,0.97,5.62,-0.06,2.84,0.74
198308,-0.50,-4.33,5.55,0.48,1.95,0.76
198309,0.91,0.22,1.09,1.14,0.59,0.76
198310,-3.44,-3.82,5.06,-0.64,2.97,0.76
198311,2.16,1.90,-0.62,-0.55,0.64,0.70
198312,-1.78,-0.47,1.67,1.53,1.21,0.73
198401,-1.92,-0.04,7.63,-0.67,3.00,0.76
198402,-4.82,-1.60,3.36,0.72,1.57,0.71
198403,0.63,-0.30,0.48,-1.16,1.09,0.73
198404,-0.51,-1.05,1.29,3.40,0.76,0.81
198405,-5.97,0.07,0.26,2.10,-0.50,0.78
198406,1.82,0.05,-2.60,3.05,-1.51,0.75
198407,-2.74,-2.23,0.49,3.94,-2.17,0.82
198408,10.28,-0.29,-1.85,-1.22,-0.81,0.83
198409,-0.80,0.00,5.32,1.48,2.53,0.86
198410,-0.84,-1.44,0.51,0.99,-1.16,1.00
198411,-1.76,-0.95,4.08,0.89,2.08,0.73
198412,1.84,-0.71,-0.17,1.23,-1.26,0.64
198501,7.99,3.46,-5.43,-0.96,-3.36,0.65
198502,1.22,0.99,-0.12,1.26,1.03,0.58
198503,-0.84,-1.47,4.10,1.02,2.94,0.62
198504,-0.96,-0.11,3.73,1.49,0.71,0.72
198505,5.09,-2.35,-0.86,1.11,-1.39,0.66
198506,1.27,0.43,0.63,1.50,-0.59,0.55
198507,-0.74,2.89,-1.63,-0.37,-0.31,0.62
198508,-1.02,-0.31,2.28,0.33,1.88,0.55
198509,-4.54,-1.80,1.32,1.46,1.61,0.60
198510,4.02,-1.52,0.78,0.97,-1.11,0.65
198511,6.48,-0.01,-2.87,0.50,-2.33,0.61
198512,3.88,-0.43,-1.53,0.94,-1.80,0.65
198601,0.65,1.02,0.53,-2.28,-2.05,0.56
198602,7.13,-0.74,-0.94,1.21,-1.39,0.53
198603,4.88,-0.53,-0.44,1.82,0.99,0.60
198604,-1.31,2.95,-2.85,3.36,0.02,0.52
198605,4.62,-1.24,-0.11,1.90,1.11,0.49
198606,1.03,-0.88,1.40,1.90,0.87,0.52
198607,-6.45,-3.54,4.78,-0.43,0.61,0.52
198608,6.07,-4.32,3.52,-1.63,3.24,0.46
198609,-8.60,1.97,3.19,0.01,3.62,0.45
198610,4.66,-2.34,-1.32,-0.10,0.89,0.46
198611,1.17,-1.86,-0.06,1.18,0.61,0.39
198612,-3.27,0.07,0.37,0.71,-0.03,0.49
198701,12.47,-1.51,-3.18,0.04,-1.09,0.42
198702,4.39,3.39,-5.99,-0.96,-2.76,0.43
198703,1.64,0.20,1.66,1.28,4.03,0.47
198704,-2.11,-1.56,-0.33,-0.50,1.22,0.44
198705,0.11,-0.59,0.13,0.68,1.32,0.38
198706,3.94,-2.25,1.07,1.96,0.83,0.48
198707,3.85,-1.09,0.66,-0.25,1.56,0.46
198708,3.52,-0.87,-0.90,1.89,-1.59,0.47
198709,-2.59,0.39,0.28,-1.06,1.89,0.45
198710,-23.24,-8.10,4.23,1.64,2.39,0.60
198711,-7.77,2.83,3.14,-2.36,0.71,0.35
198712,6.81,0.09,-4.49,3.09,-2.36,0.39
198801,4.21,-0.56,5.08,-0.89,2.09,0.29
198802,4.75,3.27,-1.65,1.85,-0.11,0.46
198803,-2.27,6.25,0.74,-0.04,1.91,0.44
198804,0.56,1.10,1.69,-0.13,1.90,0.46
198805,-0.29,-2.58,2.30,-0.68,0.38,0.51
198806,4.79,2.18,-1.07,1.43,-3.25,0.49
198807,-1.25,-0.17,2.27,-0.81,1.45,0.51
198808,-3.31,-0.04,2.03,-0.85,1.74,0.59
198809,3.30,-1.32,-0.68,1.45,-0.48,0.62
198810,1.15,-2.97,1.71,1.32,1.04,0.61
198811,-2.29,-1.67,1.24,0.08,1.60,0.57
198812,1.49,1.99,-1.55,0.77,-0.37,0.63
198901,6.10,-2.23,0.51,-0.80,0.16,0.55
198902,-2.25,2.67,0.87,-0.62,1.89,0.61
198903,1.57,0.74,0.46,-0.04,0.79,0.67
198904,4.33,-0.70,-1.45,0.82,-0.54,0.67
198905,3.35,-0.05,-0.82,0.64,-0.04,0.79
198906,-1.35,-1.07,2.19,-0.09,1.52,0.71
198907,7.20,-4.08,-2.84,2.00,-0.62,0.70
198908,1.44,0.44,0.72,0.08,-0.50,0.74
198909,-0.76,0.46,-1.34,1.41,0.59,0.65
198910,-3.67,-3.33,-1.03,0.09,0.02,0.68
198911,1.03,-1.28,-1.12,-1.29,1.47,0.69
198912,1.16,-2.28,0.28,-0.25,1.45,0.61
199001,-7.85,-1.33,0.87,-1.12,1.32,0.57
199002,1.11,1.17,0.61,-0.18,-0.64,0.57
199003,1.83,1.63,-2.90,2.18,-1.02,0.64
199004,-3.36,-0.43,-2.55,1.83,-0.98,0.69
199005,8.42,-2.42,-3.74,1.70,-1.57,0.68
199006,-1.09,1.37,-1.94,-1.09,-0.34,0.63
199007,-1.90,-3.24,-0.01,-0.36,3.10,0.68
199008,-10.15,-3.86,1.58,-0.46,2.99,0.66
199009,-6.12,-3.75,0.73,-0.07,3.71,0.60
199010,-1.92,-5.08,0.22,2.81,-0.49,0.68
199011,6.35,-0.03,-3.16,0.82,-4.75,0.57
199012,2.46,0.62,-1.54,3.39,-2.00,0.60
199101,4.69,3.88,-1.84,1.78,-4.08,0.52
